user_id,timestamp,action_type,feature_used,session_duration,step_number
user_35,2024-01-03,feature_z_used,,461,3
user_35,2024-01-04,feature_y_used,Feature Y,595,4
user_35,2024-01-05,signup,,261,5
user_36,2024-01-01,feature_y_used,Feature Y,83,1
user_36,2024-01-02,subscription,,61,2
user_36,2024-01-03,onboarding_start,,108,3
user_36,2024-01-04,feedback_submitted,,467,4
user_36,2024-01-05,signup,,218,5
user_36,2024-01-06,feature_z_used,,232,6
user_37,2024-01-01,feature_x_demo,Feature Y,37,1
user_37,2024-01-02,feature_z_used,,536,2
user_37,2024-01-03,feedback_submitted,,114,3
user_38,2024-01-01,feature_z_used,Feature X,339,1
user_38,2024-01-02,feature_y_used,,530,2
user_38,2024-01-03,signup,,30,3
user_38,2024-01-04,feedback_submitted,,350,4
user_38,2024-01-05,feature_x_demo,,272,5
user_39,2024-01-01,signup,,559,1
user_39,2024-01-02,feature_z_used,Feature Y,441,2
user_39,2024-01-03,subscription,,282,3
user_39,2024-01-04,onboarding_start,,591,4
user_39,2024-01-05,feedback_submitted,,431,5
user_39,2024-01-06,feature_y_used,Feature Z,182,6
user_40,2024-01-01,signup,,267,1
user_40,2024-01-02,feedback_submitted,,513,2
user_40,2024-01-03,onboarding_start,,49,3
user_40,2024-01-04,feature_x_demo,Feature X,104,4
user_40,2024-01-05,feature_y_used,Feature Z,432,5
user_40,2024-01-06,subscription,,129,6
user_41,2024-01-01,feedback_submitted,,390,1
user_41,2024-01-02,feature_y_used,Feature Z,434,2
user_41,2024-01-03,feature_x_demo,Feature X,291,3
user_41,2024-01-04,signup,,408,4
user_41,2024-01-05,subscription,,471,5
user_41,2024-01-06,feature_z_used,Feature Z,206,6
user_42,2024-01-01,feature_z_used,Feature X,51,1
user_42,2024-01-02,feedback_submitted,,383,2
user_42,2024-01-03,subscription,,539,3
user_42,2024-01-04,feature_x_demo,Feature Y,293,4
user_42,2024-01-05,signup,,231,5
user_42,2024-01-06,onboarding_start,,287,6
user_43,2024-01-01,onboarding_start,,410,1
user_43,2024-01-02,subscription,,459,2
user_43,2024-01-03,feature_y_used,,247,3
user_43,2024-01-04,feature_x_demo,Feature Y,90,4
user_43,2024-01-05,feature_z_used,Feature Z,279,5
user_43,2024-01-06,feedback_submitted,,469,6
user_44,2024-01-01,feature_z_used,Feature Z,113,1
user_44,2024-01-02,subscription,,410,2
user_44,2024-01-03,signup,,39,3
user_44,2024-01-04,feedback_submitted,,483,4
user_44,2024-01-05,onboarding_start,,498,5
user_44,2024-01-06,feature_x_demo,,579,6
user_45,2024-01-01,feature_x_demo,Feature Z,412,1
user_45,2024-01-02,signup,,237,2
user_45,2024-01-03,feature_y_used,Feature Z,147,3
user_46,2024-01-01,feature_y_used,Feature Z,506,1
user_46,2024-01-02,feature_z_used,Feature Y,267,2
user_46,2024-01-03,signup,,244,3
user_47,2024-01-01,feedback_submitted,,531,1
user_47,2024-01-02,feature_y_used,Feature Y,43,2
user_47,2024-01-03,feature_z_used,Feature Z,179,3
user_48,2024-01-01,onboarding_start,,231,1
user_48,2024-01-02,subscription,,315,2
user_48,2024-01-03,feature_x_demo,Feature Z,146,3
user_48,2024-01-04,feedback_submitted,,84,4
user_48,2024-01-05,feature_y_used,Feature X,266,5
user_48,2024-01-06,signup,,429,6
user_49,2024-01-01,feature_y_used,,140,1
user_49,2024-01-02,signup,,465,2
user_49,2024-01-03,subscription,,187,3
user_49,2024-01-04,feature_z_used,Feature X,234,4
user_49,2024-01-05,onboarding_start,,72,5
user_49,2024-01-06,feature_x_demo,Feature Z,490,6
user_50,2024-01-01,feature_z_used,Feature X,205,1
user_50,2024-01-02,feature_y_used,,522,2
user_50,2024-01-03,onboarding_start,,383,3
user_51,2024-01-01,feature_x_demo,Feature Y,187,1
user_51,2024-01-02,subscription,,163,2
user_51,2024-01-03,signup,,94,3
user_52,2024-01-01,onboarding_start,,546,1
user_52,2024-01-02,signup,,455,2
user_52,2024-01-03,subscription,,416,3
user_53,2024-01-01,feature_y_used,,273,1
user_53,2024-01-02,feature_x_demo,,485,2
user_53,2024-01-03,onboarding_start,,26,3
user_53,2024-01-04,feature_z_used,,344,4
user_53,2024-01-05,feedback_submitted,,372,5
user_54,2024-01-01,signup,,192,1
user_54,2024-01-02,feature_x_demo,,554,2
user_54,2024-01-03,feature_z_used,,55,3
user_55,2024-01-01,feature_x_demo,Feature Y,475,1
user_55,2024-01-02,onboarding_start,,572,2
user_55,2024-01-03,feature_y_used,Feature Z,561,3
user_55,2024-01-04,feature_z_used,,267,4
user_55,2024-01-05,subscription,,404,5
user_56,2024-01-01,feedback_submitted,,265,1
user_56,2024-01-02,feature_x_demo,,19,2
user_56,2024-01-03,feature_y_used,Feature X,133,3
user_57,2024-01-01,feature_y_used,Feature Z,77,1
user_57,2024-01-02,feedback_submitted,,231,2
user_57,2024-01-03,feature_z_used,Feature Z,475,3
user_57,2024-01-04,feature_x_demo,Feature X,119,4
user_58,2024-01-01,onboarding_start,,451,1
user_58,2024-01-02,feature_x_demo,Feature X,37,2
user_58,2024-01-03,feature_z_used,Feature Y,579,3
user_59,2024-01-01,subscription,,15,1
user_59,2024-01-02,feature_y_used,Feature X,65,2
user_59,2024-01-03,feedback_submitted,,460,3
user_59,2024-01-04,onboarding_start,,463,4
user_60,2024-01-01,signup,,132,1
user_60,2024-01-02,feature_x_demo,Feature Y,320,2
user_60,2024-01-03,feedback_submitted,,282,3
user_60,2024-01-04,feature_z_used,Feature Y,68,4
user_60,2024-01-05,subscription,,250,5
user_60,2024-01-06,feature_y_used,Feature Z,403,6
user_61,2024-01-01,feature_x_demo,,449,1
user_61,2024-01-02,subscription,,117,2
user_61,2024-01-03,feature_y_used,,436,3
user_62,2024-01-01,feature_x_demo,Feature Y,449,1
user_62,2024-01-02,signup,,461,2
user_62,2024-01-03,feature_y_used,Feature X,322,3
user_62,2024-01-04,feature_z_used,,263,4
user_63,2024-01-01,feature_z_used,,152,1
user_63,2024-01-02,subscription,,198,2
user_63,2024-01-03,signup,,415,3
user_63,2024-01-04,feature_x_demo,,344,4
user_63,2024-01-05,onboarding_start,,522,5
user_64,2024-01-01,feature_x_demo,,57,1
user_64,2024-01-02,feature_y_used,Feature Z,125,2
user_64,2024-01-03,signup,,197,3
user_65,2024-01-01,onboarding_start,,209,1
user_65,2024-01-02,feature_x_demo,Feature X,107,2
user_65,2024-01-03,signup,,75,3
user_65,2024-01-04,feature_z_used,Feature X,65,4
user_65,2024-01-05,subscription,,417,5
user_66,2024-01-01,feature_x_demo,Feature Y,527,1
user_66,2024-01-02,subscription,,247,2
user_66,2024-01-03,signup,,538,3
user_66,2024-01-04,feedback_submitted,,360,4
user_67,2024-01-01,feature_z_used,Feature Z,263,1
user_67,2024-01-02,feature_y_used,,61,2
user_67,2024-01-03,feature_x_demo,Feature Y,135,3
user_67,2024-01-04,subscription,,228,4
user_68,2024-01-01,feature_x_demo,,267,1
user_68,2024-01-02,feature_y_used,Feature Z,317,2
user_68,2024-01-03,feedback_submitted,,70,3
user_68,2024-01-04,onboarding_start,,540,4
user_68,2024-01-05,signup,,488,5
user_69,2024-01-01,signup,,21,1
user_69,2024-01-02,feature_y_used,Feature X,17,2
user_69,2024-01-03,feature_x_demo,Feature Y,377,3
user_69,2024-01-04,feedback_submitted,,522,4
user_70,2024-01-01,onboarding_start,,499,1
user_70,2024-01-02,feature_y_used,Feature Z,42,2
user_70,2024-01-03,signup,,53,3
user_70,2024-01-04,feature_z_used,Feature Y,287,4
user_71,2024-01-01,feature_x_demo,Feature X,39,1
user_71,2024-01-02,onboarding_start,,594,2
user_71,2024-01-03,subscription,,408,3
user_71,2024-01-04,feature_z_used,Feature X,81,4
user_72,2024-01-01,feedback_submitted,,568,1
user_72,2024-01-02,feature_z_used,,439,2
user_72,2024-01-03,signup,,532,3
user_72,2024-01-04,feature_x_demo,Feature Y,296,4
user_73,2024-01-01,onboarding_start,,291,1
user_73,2024-01-02,subscription,,596,2
user_73,2024-01-03,feature_y_used,Feature Z,517,3
user_73,2024-01-04,signup,,530,4
user_73,2024-01-05,feedback_submitted,,364,5
user_74,2024-01-01,onboarding_start,,557,1
user_74,2024-01-02,feature_z_used,,54,2
user_74,2024-01-03,feature_y_used,Feature Z,243,3
user_74,2024-01-04,feature_x_demo,Feature Y,562,4
user_75,2024-01-01,signup,,132,1
user_75,2024-01-02,onboarding_start,,518,2
user_75,2024-01-03,feature_z_used,Feature Y,588,3
user_75,2024-01-04,feedback_submitted,,455,4
user_76,2024-01-01,feature_z_used,,424,1
user_76,2024-01-02,feedback_submitted,,132,2
user_76,2024-01-03,feature_y_used,Feature Z,239,3
user_76,2024-01-04,signup,,546,4
user_76,2024-01-05,subscription,,127,5
user_77,2024-01-01,feature_y_used,Feature Z,273,1
user_77,2024-01-02,signup,,24,2
user_77,2024-01-03,feature_x_demo,Feature Y,275,3
user_78,2024-01-01,feedback_submitted,,343,1
user_78,2024-01-02,feature_x_demo,,564,2
user_78,2024-01-03,signup,,433,3
user_78,2024-01-04,feature_y_used,,109,4
user_78,2024-01-05,subscription,,595,5
user_78,2024-01-06,feature_z_used,Feature Y,332,6
user_79,2024-01-01,feature_y_used,,527,1
user_79,2024-01-02,subscription,,310,2
user_79,2024-01-03,feedback_submitted,,334,3
user_79,2024-01-04,onboarding_start,,586,4
user_80,2024-01-01,subscription,,179,1
user_80,2024-01-02,feedback_submitted,,19,2
user_80,2024-01-03,feature_y_used,Feature Y,393,3
user_81,2024-01-01,feature_x_demo,,416,1
user_81,2024-01-02,subscription,,310,2
user_81,2024-01-03,onboarding_start,,309,3
user_81,2024-01-04,feature_z_used,Feature Z,540,4
user_82,2024-01-01,onboarding_start,,517,1
user_82,2024-01-02,feature_x_demo,Feature Z,118,2
user_82,2024-01-03,feature_y_used,Feature Y,53,3
user_83,2024-01-01,feature_z_used,Feature X,303,1
user_83,2024-01-02,signup,,492,2
user_83,2024-01-03,feedback_submitted,,245,3
user_83,2024-01-04,feature_y_used,Feature Y,434,4
user_84,2024-01-01,onboarding_start,,268,1
user_84,2024-01-02,subscription,,210,2
user_84,2024-01-03,feature_y_used,Feature X,536,3
user_85,2024-01-01,feedback_submitted,,230,1
user_85,2024-01-02,subscription,,29,2
user_85,2024-01-03,feature_y_used,Feature Z,171,3
user_85,2024-01-04,feature_x_demo,,275,4
user_85,2024-01-05,feature_z_used,,171,5
user_86,2024-01-01,feature_y_used,Feature Y,297,1
user_86,2024-01-02,signup,,83,2
user_86,2024-01-03,subscription,,25,3
user_87,2024-01-01,signup,,232,1
user_87,2024-01-02,feature_y_used,,155,2
user_87,2024-01-03,feature_x_demo,,224,3
user_87,2024-01-04,feature_z_used,,474,4
user_88,2024-01-01,feature_y_used,Feature X,65,1
user_88,2024-01-02,feedback_submitted,,43,2
user_88,2024-01-03,feature_x_demo,Feature Y,476,3
user_88,2024-01-04,signup,,310,4
user_88,2024-01-05,onboarding_start,,311,5
user_88,2024-01-06,subscription,,421,6
user_89,2024-01-01,subscription,,15,1
user_89,2024-01-02,signup,,581,2
user_89,2024-01-03,feature_x_demo,,385,3
user_90,2024-01-01,feature_y_used,Feature Y,327,1
user_90,2024-01-02,feature_x_demo,Feature Z,131,2
user_90,2024-01-03,onboarding_start,,589,3
user_90,2024-01-04,feedback_submitted,,258,4
user_90,2024-01-05,subscription,,551,5
user_91,2024-01-01,feature_y_used,Feature Y,193,1
user_91,2024-01-02,signup,,196,2
user_91,2024-01-03,feature_z_used,Feature X,39,3
user_91,2024-01-04,feedback_submitted,,194,4
user_92,2024-01-01,feedback_submitted,,170,1
user_92,2024-01-02,onboarding_start,,483,2
user_92,2024-01-03,feature_y_used,Feature Y,63,3
user_92,2024-01-04,feature_x_demo,Feature Y,98,4
user_92,2024-01-05,feature_z_used,,375,5
user_92,2024-01-06,subscription,,162,6
user_93,2024-01-01,feature_x_demo,Feature X,229,1
user_93,2024-01-02,onboarding_start,,449,2
user_93,2024-01-03,subscription,,332,3
user_93,2024-01-04,feature_y_used,Feature X,46,4
user_93,2024-01-05,feedback_submitted,,299,5
user_94,2024-01-01,subscription,,189,1
user_94,2024-01-02,feature_y_used,,208,2
user_94,2024-01-03,feature_z_used,Feature X,516,3
user_95,2024-01-01,feature_y_used,Feature X,69,1
user_95,2024-01-02,onboarding_start,,472,2
user_95,2024-01-03,signup,,176,3
user_95,2024-01-04,feature_z_used,Feature Z,394,4
user_96,2024-01-01,feedback_submitted,,457,1
user_96,2024-01-02,feature_x_demo,Feature Z,342,2
user_96,2024-01-03,signup,,68,3
user_96,2024-01-04,subscription,,253,4
user_96,2024-01-05,feature_z_used,Feature Z,243,5
user_97,2024-01-01,signup,,134,1
user_97,2024-01-02,feature_z_used,,505,2
user_97,2024-01-03,feedback_submitted,,466,3
user_98,2024-01-01,feature_y_used,,165,1
user_98,2024-01-02,signup,,99,2
user_98,2024-01-03,subscription,,161,3
user_99,2024-01-01,signup,,537,1
user_99,2024-01-02,subscription,,400,2
user_99,2024-01-03,onboarding_start,,485,3
user_100,2024-01-01,feedback_submitted,,240,1
user_100,2024-01-02,feature_x_demo,,67,2
user_100,2024-01-03,onboarding_start,,514,3
user_100,2024-01-04,signup,,520,4
user_100,2024-01-05,feature_z_used,Feature X,378,5
user_101,2024-01-01,feature_y_used,Feature X,540,1
user_101,2024-01-02,feature_z_used,Feature Z,535,2
user_101,2024-01-03,subscription,,566,3
user_101,2024-01-04,onboarding_start,,251,4
user_102,2024-01-01,signup,,43,1
user_102,2024-01-02,feature_z_used,Feature Y,123,2
user_102,2024-01-03,feature_y_used,Feature Y,89,3
user_103,2024-01-01,subscription,,31,1
user_103,2024-01-02,feature_x_demo,Feature Y,167,2
user_103,2024-01-03,feedback_submitted,,392,3
user_103,2024-01-04,signup,,356,4
user_103,2024-01-05,feature_y_used,Feature Z,41,5
user_103,2024-01-06,onboarding_start,,301,6
user_104,2024-01-01,subscription,,415,1
user_104,2024-01-02,feature_x_demo,Feature X,490,2
user_104,2024-01-03,feedback_submitted,,572,3
user_104,2024-01-04,signup,,590,4
user_104,2024-01-05,feature_z_used,Feature Z,144,5
user_104,2024-01-06,feature_y_used,Feature X,377,6
user_105,2024-01-01,feature_y_used,Feature Y,25,1
user_105,2024-01-02,feedback_submitted,,526,2
user_105,2024-01-03,subscription,,127,3
user_105,2024-01-04,signup,,201,4
user_105,2024-01-05,feature_z_used,Feature Z,241,5
user_105,2024-01-06,onboarding_start,,324,6
user_106,2024-01-01,feature_x_demo,Feature X,562,1
user_106,2024-01-02,onboarding_start,,162,2
user_106,2024-01-03,signup,,481,3
user_106,2024-01-04,feature_y_used,Feature Y,258,4
user_106,2024-01-05,feature_z_used,Feature Z,505,5
user_107,2024-01-01,subscription,,87,1
user_107,2024-01-02,feature_z_used,Feature X,310,2
user_107,2024-01-03,feature_y_used,Feature X,31,3
user_108,2024-01-01,feedback_submitted,,512,1
user_108,2024-01-02,feature_z_used,,243,2
user_108,2024-01-03,feature_y_used,Feature Z,122,3
user_109,2024-01-01,feature_z_used,Feature Z,31,1
user_109,2024-01-02,subscription,,344,2
user_109,2024-01-03,signup,,583,3
user_109,2024-01-04,feature_x_demo,,511,4
user_110,2024-01-01,feature_y_used,,214,1
user_110,2024-01-02,onboarding_start,,551,2
user_110,2024-01-03,feedback_submitted,,480,3
user_110,2024-01-04,subscription,,103,4
user_111,2024-01-01,subscription,,302,1
user_111,2024-01-02,feature_y_used,Feature Z,30,2
user_111,2024-01-03,feedback_submitted,,415,3
user_111,2024-01-04,feature_z_used,Feature Y,100,4
user_111,2024-01-05,signup,,264,5
user_112,2024-01-01,subscription,,491,1
user_112,2024-01-02,feedback_submitted,,237,2
user_112,2024-01-03,onboarding_start,,386,3
user_112,2024-01-04,feature_y_used,Feature Y,416,4
user_112,2024-01-05,feature_x_demo,Feature Z,457,5
user_113,2024-01-01,subscription,,145,1
user_113,2024-01-02,onboarding_start,,185,2
user_113,2024-01-03,signup,,197,3
user_114,2024-01-01,feature_x_demo,,411,1
user_114,2024-01-02,feature_z_used,Feature Y,175,2
user_114,2024-01-03,onboarding_start,,30,3
user_114,2024-01-04,feedback_submitted,,507,4
user_114,2024-01-05,subscription,,440,5
user_115,2024-01-01,feedback_submitted,,155,1
user_115,2024-01-02,signup,,288,2
user_115,2024-01-03,feature_y_used,Feature Y,430,3
user_115,2024-01-04,feature_z_used,,53,4
user_116,2024-01-01,feature_x_demo,Feature X,286,1
user_116,2024-01-02,feature_y_used,Feature Y,454,2
user_116,2024-01-03,subscription,,253,3
user_117,2024-01-01,feature_x_demo,Feature Y,17,1
user_117,2024-01-02,feedback_submitted,,443,2
user_117,2024-01-03,onboarding_start,,156,3
user_117,2024-01-04,subscription,,390,4
user_118,2024-01-01,feedback_submitted,,599,1
user_118,2024-01-02,feature_x_demo,Feature Z,413,2
user_118,2024-01-03,subscription,,358,3
user_118,2024-01-04,signup,,154,4
user_119,2024-01-01,feature_y_used,Feature Z,454,1
user_119,2024-01-02,signup,,333,2
user_119,2024-01-03,onboarding_start,,316,3
user_119,2024-01-04,feature_x_demo,Feature Y,358,4
user_120,2024-01-01,feedback_submitted,,589,1
user_120,2024-01-02,subscription,,324,2
user_120,2024-01-03,feature_x_demo,Feature X,257,3
user_121,2024-01-01,feedback_submitted,,520,1
user_121,2024-01-02,feature_y_used,Feature Z,273,2
user_121,2024-01-03,feature_z_used,Feature Z,531,3
user_121,2024-01-04,signup,,68,4
user_122,2024-01-01,feature_z_used,Feature X,504,1
user_122,2024-01-02,feedback_submitted,,433,2
user_122,2024-01-03,subscription,,76,3
user_123,2024-01-01,onboarding_start,,103,1
user_123,2024-01-02,feedback_submitted,,343,2
user_123,2024-01-03,signup,,594,3
user_123,2024-01-04,feature_y_used,Feature Z,371,4
user_123,2024-01-05,feature_z_used,,281,5
user_123,2024-01-06,subscription,,337,6
user_124,2024-01-01,feedback_submitted,,477,1
user_124,2024-01-02,feature_z_used,Feature X,54,2
user_124,2024-01-03,feature_y_used,Feature Z,551,3
user_125,2024-01-01,feedback_submitted,,468,1
user_125,2024-01-02,feature_z_used,Feature X,51,2
user_125,2024-01-03,subscription,,330,3
user_125,2024-01-04,signup,,128,4
user_125,2024-01-05,feature_x_demo,,54,5
user_126,2024-01-01,signup,,303,1
user_126,2024-01-02,feature_y_used,,276,2
user_126,2024-01-03,subscription,,230,3
user_126,2024-01-04,feedback_submitted,,161,4
user_127,2024-01-01,onboarding_start,,377,1
user_127,2024-01-02,subscription,,571,2
user_127,2024-01-03,feedback_submitted,,359,3
user_127,2024-01-04,feature_z_used,Feature Z,184,4
user_127,2024-01-05,feature_x_demo,Feature Y,370,5
user_127,2024-01-06,signup,,205,6
user_128,2024-01-01,feedback_submitted,,45,1
user_128,2024-01-02,feature_y_used,Feature Y,549,2
user_128,2024-01-03,onboarding_start,,440,3
user_128,2024-01-04,signup,,408,4
user_128,2024-01-05,feature_x_demo,Feature Z,377,5
user_128,2024-01-06,feature_z_used,Feature Z,451,6
user_129,2024-01-01,subscription,,238,1
user_129,2024-01-02,feedback_submitted,,539,2
user_129,2024-01-03,feature_x_demo,Feature X,60,3
user_129,2024-01-04,signup,,127,4
user_130,2024-01-01,feedback_submitted,,340,1
user_130,2024-01-02,feature_x_demo,Feature Z,481,2
user_130,2024-01-03,signup,,428,3
user_131,2024-01-01,subscription,,51,1
user_131,2024-01-02,feedback_submitted,,292,2
user_131,2024-01-03,feature_x_demo,Feature Y,210,3
user_131,2024-01-04,feature_z_used,,498,4
user_132,2024-01-01,feature_x_demo,Feature Y,36,1
user_132,2024-01-02,feature_z_used,,488,2
user_132,2024-01-03,feedback_submitted,,134,3
user_132,2024-01-04,onboarding_start,,224,4
user_132,2024-01-05,subscription,,320,5
user_133,2024-01-01,signup,,395,1
user_133,2024-01-02,onboarding_start,,474,2
user_133,2024-01-03,subscription,,21,3
user_133,2024-01-04,feature_x_demo,Feature Y,43,4
user_133,2024-01-05,feedback_submitted,,47,5
user_134,2024-01-01,signup,,496,1
user_134,2024-01-02,feature_y_used,Feature X,444,2
user_134,2024-01-03,feature_z_used,Feature X,299,3
user_134,2024-01-04,onboarding_start,,530,4
